"","Date","d2m","t2m","tp","RH"
"layer.504",2015-05-19,19.2636897432332,21.477082680514,0.239515236331199,87.2276116309182
"layer.505",2015-05-20,18.8129053539708,21.1882693996094,0.105184650289713,86.3240479533187
"layer.506",2015-05-21,18.8716693648708,22.0488221045219,0.0948908615331507,82.1996415285765
"layer.507",2015-05-22,18.2032043372249,21.2395764117756,0.0564014918322449,82.8293255899727
"layer.508",2015-05-23,17.5879392862244,21.3995462466102,0.00375493448370343,78.9069089492731
"layer.509",2015-05-24,17.3030631727524,21.3638327401765,0,77.6702561255416
"layer.510",2015-05-25,18.2289257938232,22.7211009093349,0,75.7955548068608
"layer.511",2015-05-26,19.0825291805606,22.5807728294532,0.00090903503319366,80.6360854190902
"layer.512",2015-05-27,19.590814691369,21.9916885772548,0.00384273900395509,86.2645207131236
"layer.513",2015-05-28,20.131233720181,24.441431695765,0.000134289266267238,76.9292398871347
"layer.514",2015-05-29,18.7503770786684,20.1876580490396,1.16730944702807,91.4531303315947
"layer.515",2015-05-30,18.3495591812323,20.9176092495683,0.00141520226758558,85.2624046454871
"layer.516",2015-05-31,20.1161034515938,22.0304062752896,0.0678470692956383,88.9091195129343
"layer.517",2015-06-01,20.0745074148085,22.6407960387762,0.060497314453396,85.448522134621
"layer.518",2015-06-02,18.44245170926,20.8125568455058,0.169746797533583,86.3161459638138
"layer.519",2015-06-03,16.536763876129,20.1154900920553,0.031997000174062,79.898132970837
"layer.520",2015-06-04,16.1556153278563,20.4492450015766,5.68146895746005e-05,76.3911882779893
"layer.521",2015-06-05,18.8284870902498,21.2516740084476,0.0387114634874245,86.0727055127761
"layer.522",2015-06-06,19.5820598786986,22.1941481892647,0.00985993112708373,85.1604764781381
"layer.523",2015-06-07,19.1374740188252,22.8073872196735,0.000108464407369692,79.8080441513234
"layer.524",2015-06-08,18.4084696140863,21.6278648082993,0.000113629379149201,81.930911947129
"layer.525",2015-06-09,16.6108228803145,21.5134967159309,0,73.6586187326981
"layer.526",2015-06-10,16.5487521736185,21.5212901008694,6.19796613541097e-05,73.3336407751016
"layer.527",2015-06-11,18.3598209198467,22.9342503241947,1.03299435590183e-05,75.4396188170011
"layer.528",2015-06-12,18.5545804215035,23.4853510866197,0,73.8644548050869
"layer.529",2015-06-13,19.9953297431454,22.8453909170139,0.00665248365200832,83.9823840213253
"layer.530",2015-06-14,17.7519074711233,23.2108514988821,0,71.4074713213858
"layer.531",2015-06-15,18.3507244559501,25.1584500535264,0.00146685198538073,65.9699759164632
"layer.532",2015-06-16,17.5484480650288,18.8964686233958,0.20380462144767,91.8883001305746
"layer.533",2015-06-17,19.0836761525341,21.1274985103139,0.0208148362714237,88.123217655668
"layer.534",2015-06-18,20.1449790811193,23.0004503131103,1.54949153385274e-05,83.9714640172954
"layer.535",2015-06-19,19.0163891637244,21.5671545417043,0.162252423481515,85.4214683963255
"layer.536",2015-06-20,15.3899505263672,18.5430046003655,0.0978555553345891,81.8898113862787
"layer.537",2015-06-21,15.2999681346766,18.7278634216717,0.0350030137497366,80.4822652596483
"layer.538",2015-06-22,17.2571476883221,19.8523471568728,0.397744146796476,85.00552352575
"layer.539",2015-06-23,18.4227823600966,20.6559077874859,9.29694920311645e-05,87.0452915625868
"layer.540",2015-06-24,17.7461909139999,20.2555891528463,0.340061741962913,85.5090234187895
"layer.541",2015-06-25,14.4855143179086,18.1965121878894,0.0624703336731686,78.9552484804346
"layer.542",2015-06-26,14.5606775876644,17.6099067305547,0.0916317643402801,82.3219349051009
"layer.543",2015-06-27,16.0198333691157,18.8148839402716,0.078244157487791,83.8201816983664
"layer.544",2015-06-28,16.1977360433103,18.7267991564856,0.0804031156916261,85.2446840746085
"layer.545",2015-06-29,16.9781650585014,19.9150445008722,0.00866682264601711,83.1939334631017
"layer.546",2015-06-30,17.0462573680585,20.9459537299668,0.00342437628981485,78.4037435095883
"layer.547",2015-07-01,18.0244109294764,22.6698275764467,0,75.0613698734676
"layer.548",2015-07-02,18.8847131206125,21.7537848930355,0.00521145652552516,83.7612138340676
"layer.549",2015-07-03,18.4112760348726,21.1783138050208,0.00552651980407527,84.2332338386752
"layer.550",2015-07-04,17.4504673740973,22.5472552119478,0,72.9368422132282
"layer.551",2015-07-05,14.0243705753958,18.0115927438827,0.0348325696810128,77.5294377229023
"layer.552",2015-07-06,15.5921836485963,17.5803093810131,0.0637564116462666,88.1310268753104
"layer.553",2015-07-07,16.5201571861716,19.2703288172071,0.0258455187846661,84.1115111598775
"layer.554",2015-07-08,16.6074917808594,20.0689520656596,0.000113629379149201,80.4895078448645
"layer.555",2015-07-09,17.1558542006797,21.2584031282,0,77.4495034671145
"layer.556",2015-07-10,17.5630536549473,21.1607264860282,1.03299435590183e-05,79.9452370161093
"layer.557",2015-07-11,18.6902342610343,21.5590917225416,0.002453361595267,83.7403687381276
"layer.558",2015-07-12,18.1179928608712,21.4346804694616,1.54949153385274e-05,81.4081220612736
"layer.559",2015-07-13,18.488891872359,22.1730986404897,4.13197742360731e-05,79.6499541002982
"layer.560",2015-07-14,17.7806366786947,22.3810412389645,0.000273743504313984,75.2270395261406
"layer.561",2015-07-15,17.8874087877853,21.9008757719475,0,77.9821865693331
"layer.562",2015-07-16,18.7042480622217,21.8015623168631,0.000253083617195974,82.5806957074177
"layer.563",2015-07-17,18.6479549217967,21.5327545271142,0.012891769561656,83.6539370158534
"layer.564",2015-07-18,17.9143565282488,21.1782666540315,0.00282523956339176,81.6460676997385
"layer.565",2015-07-19,17.852133298684,21.3625057766218,0.00864099778711954,80.4134709553477
"layer.566",2015-07-20,17.5371552718212,22.2585968557221,0.00180774012282838,74.6352843802103
"layer.567",2015-07-21,16.8844550078969,22.6252160047549,5.16497177950914e-06,70.0389632988956
